Date,Hour,Appliance,Weather,Season,Is_Weekend,Num_Occupants,Power_Usage_kWh
2025-09-24,0,HVAC,Sunny,Autumn,False,4,1.22
2025-09-24,0,Washing Machine,Sunny,Autumn,False,4,0.73
2025-09-24,0,Refrigerator,Sunny,Autumn,False,4,1.7
2025-09-24,0,Lights,Sunny,Autumn,False,4,1.09
2025-09-24,0,Oven,Sunny,Autumn,False,4,0.97
2025-09-24,1,HVAC,Cloudy,Autumn,False,5,1.54
2025-09-24,1,Washing Machine,Cloudy,Autumn,False,5,0.62
2025-09-24,1,Refrigerator,Cloudy,Autumn,False,5,1.91
2025-09-24,1,Lights,Cloudy,Autumn,False,5,1.18
2025-09-24,1,Oven,Cloudy,Autumn,False,5,0.79
2025-09-24,2,HVAC,Rainy,Autumn,False,1,1.82
2025-09-24,2,Washing Machine,Rainy,Autumn,False,1,0.6
2025-09-24,2,Refrigerator,Rainy,Autumn,False,1,1.61
2025-09-24,2,Lights,Rainy,Autumn,False,1,0.84
2025-09-24,2,Oven,Rainy,Autumn,False,1,0.56
2025-09-24,3,HVAC,Cloudy,Autumn,False,2,1.19
2025-09-24,3,Washing Machine,Cloudy,Autumn,False,2,0.49
2025-09-24,3,Refrigerator,Cloudy,Autumn,False,2,1.41
2025-09-24,3,Lights,Cloudy,Autumn,False,2,0.85
2025-09-24,3,Oven,Cloudy,Autumn,False,2,0.49
2025-09-24,4,HVAC,Rainy,Autumn,False,1,1.95
2025-09-24,4,Washing Machine,Rainy,Autumn,False,1,0.58
2025-09-24,4,Refrigerator,Rainy,Autumn,False,1,1.41
2025-09-24,4,Lights,Rainy,Autumn,False,1,0.74
2025-09-24,4,Oven,Rainy,Autumn,False,1,0.66
2025-09-24,5,HVAC,Cloudy,Autumn,False,3,1.17
2025-09-24,5,Washing Machine,Cloudy,Autumn,False,3,0.73
2025-09-24,5,Refrigerator,Cloudy,Autumn,False,3,1.34
2025-09-24,5,Lights,Cloudy,Autumn,False,3,0.74
2025-09-24,5,Oven,Cloudy,Autumn,False,3,0.41
